股票代码,股票名称,行业,总市值(亿)
603268.SH,松发股份,国防军工,1485.00
601698.SH,中国卫通,国防军工,1450.00
688818.SH,电科蓝天,国防军工,1405.00
002475.SZ,立讯精密,消费电子,5275.00
300433.SZ,蓝思科技,消费电子,2004.00
300857.SZ,协创数据,消费电子,1311.00
002600.SZ,领益智造,消费电子,1236.00
603296.SH,华勤技术,消费电子,1170.00
002379.SZ,宏桥控股,有色金属,2708.00
601600.SH,中国铝业,有色金属,1836.00
603799.SH,XD华友钴,有色金属,1093.00
000807.SZ,云铝股份,有色金属,1041.00
002532.SZ,天山铝业,有色金属,706.00
600030.SH,中信证券,非银金融,3893.00
300059.SZ,东方财富,非银金融,3145.00
601211.SH,国泰海通,非银金融,2727.00
601066.SH,中信建投,非银金融,1728.00
601688.SH,华泰证券,非银金融,1688.00
002379.SZ,宏桥控股,有色金属,2708.00
601600.SH,中国铝业,有色金属,1836.00
603799.SH,XD华友钴,有色金属,1093.00
000807.SZ,云铝股份,有色金属,1041.00
002532.SZ,天山铝业,有色金属,706.00
601899.SH,紫金矿业,铜,8286.00
603993.SH,洛阳钼业,铜,3889.00
600362.SH,江西铜业,铜,1528.00
000630.SZ,铜陵有色,铜,807.00
601168.SH,西部矿业,铜,721.00
688235.SH,百济神州,化学制剂,3699.00
600276.SH,恒瑞医药,化学制剂,3424.00
600196.SH,复星医药,化学制剂,646.00
002653.SZ,海思科,化学制剂,579.00
000963.SZ,华东医药,化学制剂,528.00
600930.SH,华电新能,电力,2653.00
601991.SH,大唐发电,电力,1551.00
001289.SZ,龙源电力,电力,1493.00
600011.SH,华能国际,电力,1228.00
600905.SH,三峡能源,电力,1201.00
601233.SH,桐昆股份,其他石化,469.00
002408.SZ,齐翔腾达,其他石化,163.00
002221.SZ,东华能源,其他石化,125.00
300055.SZ,万邦达,其他石化,81.30
000819.SZ,岳阳兴长,其他石化,59.40
600066.SH,宇通客车,汽车,715.00
601058.SH,赛轮轮胎,汽车,418.00
603049.SH,中策橡胶,汽车,417.00
603119.SH,浙江荣泰,汽车,351.00
