股票代码,股票名称,触发交易日,2-10日最高涨幅(%),2-10日最低跌幅(%),11-20日最高涨幅(%),11-20日最低跌幅(%),21-40日最高涨幅(%),21-40日最低跌幅(%),41-60日最高涨幅(%),41-60日最低跌幅(%),至今最高涨幅(%),至今最低跌幅(%)
301536.SZ,星宸科技,20260116,4.25,-4.79,3.46,-5.18,19.44,-0.31,16.0,-4.43,33.87,-5.18
301548.SZ,崇德科技,20251106,-5.75,-13.65,-18.98,-20.93,-8.96,-19.06,32.46,-8.59,55.67,-20.93
301589.SZ,诺瓦星云,20260105,12.3,0.55,2.07,-5.87,-0.47,-10.19,-4.36,-16.7,12.3,-16.7
301592.SZ,六九一二,20250722,10.92,-0.17,9.18,-0.21,3.91,-15.62,-14.37,-22.67,10.92,-33.35
301603.SZ,乔锋智能,20260416,24.71,11.34,56.73,29.21,56.01,37.73,,,56.73,0.0
301606.SZ,绿联科技,20260309,4.85,-15.88,-10.42,-16.31,-4.8,-10.98,1.98,-16.95,6.55,-16.95
301629.SZ,矽电股份,20250923,6.27,-14.32,-3.13,-16.71,-6.18,-16.32,4.94,-10.05,89.28,-16.71
301631.SZ,壹连科技,20260422,8.99,-5.66,20.8,12.55,15.73,8.82,,,20.8,-5.66
600010.SH,包钢股份,20250711,20.57,-4.31,39.71,20.1,43.06,16.75,33.49,9.09,58.85,-4.31
600011.SH,华能国际,20250730,-0.26,-4.33,-2.23,-4.99,1.84,-5.12,9.97,-7.35,16.4,-11.81
600021.SH,上海电力,20250815,30.19,11.31,96.43,43.2,113.61,59.86,156.72,100.34,156.72,0.0
600023.SH,浙能电力,20260519,-3.43,-14.78,,,,,,,0.0,-14.78
600026.SH,中远海能,20250908,4.76,-2.13,4.76,-3.77,10.99,-0.9,9.52,-6.97,113.86,-7.79
600028.SH,中国石化,20260302,4.08,-10.97,-11.67,-17.3,-16.32,-24.89,-23.77,-32.35,9.99,-32.35
600031.SH,三一重工,20250722,-4.1,-7.45,-0.85,-5.66,1.93,-4.48,11.07,-2.03,13.01,-15.65
600033.SH,福建高速,20251202,13.65,-6.12,6.35,-4.47,-2.82,-11.53,-8.24,-12.47,13.65,-17.88
600056.SH,中国医药,20250918,-0.17,-7.63,-6.22,-9.21,-2.66,-11.2,-9.29,-13.86,0.0,-19.25
600059.SH,古越龙山,20260129,-5.33,-8.63,-7.25,-14.42,-13.22,-20.66,-16.71,-20.39,0.0,-25.62
600066.SH,宇通客车,20260331,6.66,1.37,3.1,-0.64,0.5,-12.02,,,6.66,-12.02
600075.SH,新疆天业,20260120,3.35,-8.63,6.71,-5.91,24.6,1.92,19.33,-2.24,24.6,-19.81
600088.SH,中视传媒,20260210,-9.65,-24.89,-22.89,-24.69,-26.14,-32.18,-6.8,-31.43,0.0,-32.18
600089.SH,特变电工,20250722,-0.35,-7.69,-3.81,-7.48,4.5,-6.72,39.06,9.21,127.01,-7.69
600100.SH,同方股份,20251030,3.6,-0.23,6.03,-3.48,6.5,-5.45,14.62,1.16,14.62,-10.44
600103.SH,青山纸业,20250902,66.3,-9.78,75.72,28.99,44.2,21.38,55.43,22.83,99.28,-9.78
600104.SH,上汽集团,20250820,3.69,-5.1,-3.94,-6.31,-2.78,-17.42,-15.4,-24.14,3.69,-39.19
600108.SH,亚盛集团,20260227,75.31,21.16,55.16,19.65,23.43,6.55,11.34,-12.09,75.31,-12.59
600111.SH,北方稀土,20250710,41.21,7.37,48.32,33.28,110.33,38.73,98.41,70.42,131.03,0.0
600118.SH,中国卫星,20250825,19.04,-1.47,14.62,5.08,21.32,3.69,37.39,19.67,264.92,-1.47
600126.SH,杭钢股份,20260422,2.14,-14.81,-7.89,-20.66,-21.35,-23.68,,,2.14,-23.68
600131.SH,国网信通,20260306,7.79,-7.24,-4.68,-16.93,-13.4,-22.03,-12.38,-20.69,7.79,-22.03
600133.SH,东湖高新,20251009,6.68,-3.73,-0.79,-5.6,-4.22,-13.65,-8.64,-12.57,8.84,-18.37
600150.SH,中国船舶,20250806,1.25,-4.65,2.47,-5.12,0.0,-10.23,-4.62,-10.52,8.47,-20.77
600157.SH,永泰能源,20250918,0.58,-5.85,1.75,-4.68,4.68,-8.19,-2.92,-8.77,18.71,-8.77
600158.SH,中体产业,20250908,-3.27,-9.31,-9.11,-10.89,-5.25,-8.91,-9.8,-16.24,44.36,-16.44
600166.SH,福田汽车,20260413,1.91,-7.9,0.82,-3.81,-7.08,-20.16,,,1.91,-20.16
600170.SH,上海建工,20250915,32.88,1.37,5.82,-2.74,3.77,-4.11,-2.74,-10.62,32.88,-15.07
600172.SH,黄河旋风,20250811,5.14,-2.77,-2.77,-11.26,19.96,-9.09,52.77,14.62,188.54,-11.26
600186.SH,莲花控股,20260211,-2.41,-16.14,7.24,-9.05,22.78,-7.24,74.36,18.7,98.94,-16.14
600198.SH,大唐电信,20260107,12.94,-8.1,-1.21,-12.76,-7.82,-17.13,-17.6,-27.09,12.94,-27.09
