ts_code,stock_name,buy_date,buy_price,max_return_10d,max_return_20d,max_return_60d,amplitude,gain
002895.SZ,川恒股份,20250930,29.26,8.339029391660963,22.590567327409417,33.08270676691728,25.157232704402503,5.025125628140711
002925.SZ,盈趣科技,20260112,21.84,-1.877289377289378,-1.877289377289378,7.738095238095244,27.48815165876778,5.5072463768115965
002945.SZ,华林证券,20260106,17.84,13.228699551569504,13.228699551569504,16.31165919282511,24.259520451339924,9.987669543773126
002967.SZ,广电计量,20251209,23.28,0.9450171821305793,2.233676975945015,7.860824742268034,34.79318734793186,6.204379562043792
002969.SZ,嘉美包装,20251209,4.56,159.8684210526316,323.4649122807018,632.2368421052632,27.433628318584073,7.801418439716292
002970.SZ,锐明技术,20260107,54.78,7.119386637458924,22.818546914932455,51.02227090178898,20.574497898178425,6.908665105386415
002978.SZ,安宁股份,20260106,36.17,4.617085982858727,16.035388443461425,17.9706939452585,14.89361702127661,10.006082725060823
002979.SZ,雷赛智能,20260508,49.51,34.09412239951526,34.09412239951526,,29.07943791224549,9.997778271495223
003022.SZ,联泓新科,20260423,24.77,3.270084779975772,10.981025433992729,,23.65532381997806,9.991119005328597
003035.SZ,南网能源,20260120,5.63,32.14920071047958,34.99111900532859,88.27708703374778,15.502183406113538,9.960937499999996
300001.SZ,特锐德,20250923,27.95,1.7889087656529516,7.334525939177104,10.41144901610018,17.511520737327192,15.927001244296973
300008.SZ,天海防务,20251119,7.82,17.90281329923274,17.90281329923274,18.0306905370844,33.56164383561644,14.16058394160585
300012.SZ,华测检测,20260120,16.41,1.0359536867763448,1.0359536867763448,5.6063375990249735,24.97945768282663,7.889546351084807
300017.SZ,网宿科技,20260126,13.78,40.13062409288824,63.42525399129173,63.42525399129173,28.790983606557386,20.034843205574905
300031.SZ,宝通科技,20260519,26.69,0.41213937804420914,,,32.36964377903975,8.056680161943328
300034.SZ,钢研高纳,20251215,19.27,2.5947067981318113,15.672029060716136,29.21639854696419,19.52165481577245,7.1150639244024525
300053.SZ,航宇微,20251201,17.43,4.3029259896729775,6.712564543889855,44.061962134251296,26.655764513491416,14.746543778801847
300054.SZ,鼎龙股份,20250922,35.1,9.800569800569793,9.800569800569793,11.680911680911684,27.927580893682585,5.691056910569108
300088.SZ,长信科技,20260416,7.77,-2.316602316602313,-2.316602316602313,,22.648083623693378,14.096916299559473
300098.SZ,高新兴,20260106,6.51,10.906298003072196,10.906298003072196,10.906298003072196,26.612903225806456,5.681818181818176
300101.SZ,振芯科技,20251230,27.78,20.266378689704805,20.266378689704805,20.266378689704805,27.745940783190058,8.388607101053463
300118.SZ,东方日升,20251105,12.06,6.135986733001659,6.135986733001659,90.13266998341625,31.164383561643845,11.152073732718902
300128.SZ,锦富技术,20250923,5.88,11.734693877551027,47.61904761904761,47.61904761904761,27.35229759299781,9.49720670391061
300129.SZ,泰胜风能,20251024,8.51,1.880141010575795,2.8202115158636922,99.76498237367804,33.70253164556961,5.583126550868477
300133.SZ,华策影视,20260112,10.36,-6.177606177606166,-6.177606177606166,8.397683397683407,34.89655172413792,14.348785871964667
300140.SZ,节能环境,20260203,7.79,-1.412066752246474,4.878048780487804,4.878048780487804,26.146010186757216,5.69877883310719
300142.SZ,沃森生物,20260126,14.48,-6.837016574585636,-6.837016574585636,-6.837016574585636,24.564619615032075,11.470361816782141
300151.SZ,昌红科技,20260116,17.75,-1.1267605633802777,-1.1267605633802777,9.802816901408441,30.654058313632778,9.230769230769232
300166.SZ,东方国信,20260210,12.83,19.329696024941548,21.979734996102888,67.1083398285269,31.96635120925343,6.296603148301571
300170.SZ,汉得信息,20260108,22.67,35.20070577856196,35.20070577856196,35.20070577856196,26.158536585365873,13.350000000000009
300179.SZ,四方达,20251010,11.46,36.21291448516578,36.21291448516578,62.390924956369965,30.188679245283,8.317580340264657
300182.SZ,捷成股份,20251031,6.65,3.0075187969924704,3.0075187969924704,3.0075187969924704,26.31578947368422,6.570512820512822
300184.SZ,力源信息,20260417,12.63,10.05542359461599,21.536025336500387,,24.01247401247402,5.867560771165139
300185.SZ,通裕重工,20260313,4.21,-0.23752969121139636,-0.23752969121139636,-0.23752969121139636,25.357142857142854,19.943019943019948
300191.SZ,潜能恒信,20260122,23.13,55.38261997405966,62.04063986165153,129.48551664504973,28.99135446685877,8.642555190230155
300201.SZ,海伦哲,20251125,6.36,-2.0440251572327024,-2.0440251572327024,49.52830188679244,19.760479041916174,6.000000000000005
300222.SZ,科大智能,20260518,13.71,24.288840262582042,,,29.92277992277994,6.444099378881988
300244.SZ,迪安诊断,20260109,21.72,35.81952117863721,35.81952117863721,35.81952117863721,24.828060522696006,19.999999999999986
300251.SZ,光线传媒,20260210,25.56,6.494522691705791,6.494522691705791,6.494522691705791,34.38485804416405,19.99999999999999
300263.SZ,隆华科技,20260108,9.85,5.380710659898489,19.39086294416244,25.177664974619297,22.09150326797385,8.360836083608358
300265.SZ,通光线缆,20251211,12.01,20.8992506244796,38.55120732722732,78.68442964196504,23.63433667781493,19.980019980019982
300277.SZ,汽轮科技,20260122,18.77,1.598295151838043,33.88385721896643,35.26904635055941,34.99184339314846,18.273471959672342
300296.SZ,利亚德,20260224,7.79,17.329910141206682,18.22849807445444,18.22849807445444,25.29118136439269,7.300275482093667
300302.SZ,同有科技,20250922,17.86,17.413213885778273,28.947368421052644,41.37737961926092,33.229813664596264,5.868405453467684
300303.SZ,聚飞光电,20260224,7.82,60.23017902813298,60.23017902813298,60.23017902813298,20.128824476650564,5.248990578734866
300315.SZ,掌趣科技,20260113,6.86,3.7900874635568482,3.7900874635568482,3.7900874635568482,33.615221987315,14.907872696817432
300319.SZ,麦捷科技,20260224,13.32,6.831831831831833,6.831831831831833,12.537537537537538,18.644067796610166,5.966587112171838
300323.SZ,华灿光电,20260305,10.25,30.829268292682926,30.829268292682926,82.73170731707317,25.068493150684944,20.023419203747082
300337.SZ,银邦股份,20251208,13.57,2.2844509948415657,31.908621960206325,55.932203389830505,24.01247401247402,19.98231653404067
300342.SZ,天银机电,20251208,22.26,31.761006289308156,55.84007187780771,175.2470799640611,27.858880778588794,5.899143672692683
300393.SZ,中来股份,20251111,8.02,9.725685785536173,9.725685785536173,28.67830423940151,28.1609195402299,20.059880239520957
300398.SZ,飞凯材料,20260130,27.75,5.297297297297293,20.43243243243244,29.081081081081084,32.03694701020904,6.15914307574598
300442.SZ,润泽科技,20260109,69.2,31.083815028901718,31.083815028901718,49.40751445086705,34.87348734873486,15.699715766594217
300446.SZ,航天智造,20251029,19.87,13.38701560140916,13.38701560140916,54.45395067941621,18.539325842696623,8.817086527929897
300480.SZ,光力科技,20260116,20.92,8.46080305927342,34.94263862332695,65.82217973231354,27.31481481481482,11.752136752136769
300487.SZ,蓝晓科技,20250924,59.31,0.7587253414263965,0.7587253414263965,3.894790085988864,33.74117647058824,5.740773756462826
300489.SZ,光智科技,20251226,52.19,-0.019160758766043326,-0.019160758766043326,-0.019160758766043326,27.925396014307612,6.185147507629703
300568.SZ,星源材质,20260512,18.36,-0.5446623093681802,-0.5446623093681802,,33.509833585476535,5.456634118322799
300576.SZ,容大感光,20251201,40.99,2.927543303244683,4.440107343254453,10.490363503293478,22.51497005988025,17.855089131684878
300580.SZ,贝斯特,20260420,29.87,2.8791429527954446,2.8791429527954446,,31.27962085308056,7.833935018050547
300613.SZ,富瀚微,20260424,56.08,13.908701854493588,18.42011412268188,,32.784810126582286,20.008559811684147
300627.SZ,华测导航,20260106,42.33,9.378691235530354,9.378691235530354,9.378691235530354,26.0641781270465,16.13168724279834
300632.SZ,光莆股份,20251208,17.32,-4.6189376443418055,-4.6189376443418055,-4.6189376443418055,30.049261083743843,10.529674537332486
300634.SZ,彩讯股份,20260112,33.43,7.538139395752327,7.538139395752327,7.538139395752327,29.00042900042901,13.16858496953284
300657.SZ,弘信电子,20260416,35.25,5.361702127659576,47.744680851063826,,29.231351760696718,7.46951219512196
300661.SZ,圣邦股份,20260423,86.99,18.841246120243706,36.33751005862743,,31.049935979513442,6.240840254030288
300666.SZ,江丰电子,20250924,98.82,15.88747217162518,15.88747217162518,15.88747217162518,23.27844311377245,20.0
300676.SZ,华大基因,20260113,58.01,2.1375624892259992,2.1375624892259992,2.1375624892259992,25.24426266757555,6.051188299817175
300699.SZ,光威复材,20251226,34.87,33.26641812446229,33.26641812446229,33.26641812446229,16.78520625889048,8.426616915422889
300726.SZ,宏达电子,20251015,41.4,10.579710144927542,10.579710144927542,35.86956521739131,24.707692307692312,5.693132499361749
300739.SZ,明阳电路,20260116,19.69,1.6251904520060958,14.321990858303707,78.56780091416961,33.99452804377566,5.294117647058835
300768.SZ,迪普科技,20251010,20.07,15.545590433482815,21.973094170403588,21.973094170403588,24.666242848061025,5.354330708661415
300775.SZ,三角防务,20251106,30.59,5.132396207911071,5.132396207911071,30.107878391631242,19.36026936026935,20.007846214201656
300782.SZ,卓胜微,20260310,85.2,5.98591549295774,6.408450704225345,65.35211267605632,23.88888888888887,5.185185185185189
300820.SZ,英杰电气,20251009,62.26,-6.312238997751366,-6.312238997751366,-4.465146161259238,32.23600911623195,20.007710100231293
