股票代码,股票名称,首次满足日期,10日涨幅(%),20日涨幅(%),40日涨幅(%)
300433.SZ,蓝思科技,20260109,10.10597053502198,-9.020418712845684,-19.38485396743344
300442.SZ,润泽科技,20260109,13.179190751445072,25.433526011560687,21.965317919075147
300540.SZ,蜀道装备,20260109,5.718085106382991,2.570921985815611,3.102836879432637
300553.SZ,集智股份,20260109,3.127696289905097,-8.973252804141495,-17.213114754098356
300909.SZ,汇创达,20260109,-0.5671816937218837,-10.815568159593196,-21.768042245257192
301127.SZ,武汉天源,20260109,-7.420861442656978,-7.887908666320703,-8.66632070576024
301169.SZ,零点有数,20260109,8.000000000000002,-1.924686192468617,-5.623430962343096
600784.SH,鲁银投资,20260109,-8.793969849246233,-9.924623115577889,-8.417085427135678
600880.SH,博瑞传播,20260109,-4.945904173106637,-8.655332302936625,-19.938176197836167
603057.SH,紫燕食品,20260109,8.954128440366977,0.7706422018348655,8.80733944954128
688143.SH,长盈通,20260109,-5.758091993185694,-1.771720613287915,-1.3628620102214721
688281.SH,华秦科技,20260109,18.298607362625503,1.1551333261362489,-11.670085285544642
688543.SH,国科军工,20260109,-2.9049531459170037,-15.207496653279783,-7.041499330655963
000681.SZ,视觉中国,20260112,-5.870020964360586,-3.144654088050322,-23.235499650593997
002044.SZ,美年健康,20260112,7.715133531157263,4.599406528189905,-10.979228486646887
002292.SZ,奥飞娱乐,20260112,-15.391705069124423,-8.847926267281098,-23.13364055299539
002315.SZ,焦点科技,20260112,-8.301886792452825,-16.63807890222984,-28.627787307032587
300045.SZ,华力创通,20260112,-23.19615179048638,-27.097808658471408,-37.867450561197224
300221.SZ,银禧科技,20260112,-1.4754098360655716,-8.03278688524589,-13.688524590163933
300253.SZ,卫宁健康,20260112,-9.868928296067857,-13.646877409406333,-30.146491904394757
300454.SZ,深信服,20260112,14.098684210526322,-6.940789473684219,-25.09868421052632
300634.SZ,彩讯股份,20260112,-6.820221358061625,-10.020939276099316,-23.601555489081665
300638.SZ,广和通,20260112,-16.888888888888882,-17.33333333333333,-25.444444444444446
300711.SZ,广哈通信,20260112,-8.467053601911918,-2.0143393649709793,-14.032092864458859
300816.SZ,艾可蓝,20260112,19.96999499916652,5.034172362060336,15.45257542923821
301050.SZ,雷电微力,20260112,-21.769662921348313,-22.54213483146068,-32.050561797752806
301382.SZ,蜂助手,20260112,2.9539951573850023,-6.852300242130747,-15.326876513317188
301522.SZ,上大股份,20260112,-15.440716816003341,-18.06626380495937,-30.71473223588248
301571.SZ,国科天成,20260112,-13.911198666464605,-16.60857705712986,-10.971359296863154
600399.SH,抚顺特钢,20260112,-3.5410764872521248,-5.949008498583569,-7.790368271954671
600552.SH,凯盛科技,20260112,1.3071895424836555,-1.0457516339869288,-15.424836601307195
600986.SH,浙文互联,20260112,23.463687150837984,28.584729981378025,-3.445065176908761
601228.SH,广州港,20260112,2.8089887640449462,-1.9662921348314562,-0.2808988764045009
601949.SH,中国出版,20260112,-2.2941970310391353,-2.0242914979757134,-11.066126855600542
601992.SH,金隅集团,20260112,6.185567010309284,11.340206185567022,-2.061855670103095
603882.SH,金域医学,20260112,-11.099108830677826,-13.259519308668658,-25.19578719956792
688111.SH,金山办公,20260112,-8.287060185794365,-19.205768572857185,-29.456038316797812
688153.SH,唯捷创芯,20260112,-11.499560246262087,-15.5452946350044,-21.17414248021107
688225.SH,亚信安全,20260112,-13.426853707414821,-17.91583166332665,-24.60921843687375
688232.SH,新点软件,20260112,-5.578061701464638,-11.561234029292628,-24.77407291991275
688253.SH,英诺特,20260112,-4.833110814419231,-5.687583444592796,3.471295060080099
