序,代码,名称,最新,涨幅,涨跌,成交量,现量,买一价,卖一价,涨速,换手,成交额,市盈率,所属行业,最高,最低,开盘,昨收,振幅,量比,委比,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅,6日涨幅,3日换手,6日换手
1010,'600468,百利电气,7.49,0.94%,0.07,24.3万手,4051手,7.48,7.49,0.13%,2.23%,1.79亿,79.78 ①,电力设备,7.49,7.3,7.42,7.42,2.56%,0.61,12.08%,1526手,7.4,12.4万手,11.9万手,1.04,1982手,1028手,4,10.9亿,81.5亿元,10.9亿,81.5亿元,-1.45%,-3.97%,7.42%,20.66%
1011,'688498,源杰科技,1068,0.94%,9.92,4.90万手,486手,1067.53,1068,0.00%,3.98%,50.8亿,185.25 ①,分立器件,1072.79,1000.08,1032.12,1058.08,6.87%,0.86,-41.14%,-29手,1038.42,2.52万手,2.38万手,1.06,3手,30手,36.36,1.25亿,1330亿元,1.23亿,1312亿元,-5.34%,-4.69%,14.13%,27.12%
1012,'688213,思特威-W,110.91,0.94%,1.03,22.8万手,919手,110.91,110.95,0.19%,7.03%,24.9亿,47.12 ①,数字芯片设计,112.81,106.66,110,109.88,5.60%,1.03,-32.34%,-25手,109.59,11.2万手,11.6万手,0.97,4手,5手,8.17,4.02亿,446亿元,3.24亿,359亿元,4.63%,20.20%,19.87%,41.08%
1013,'603689,皖天然气,8.65,0.93%,0.08,6.28万手,2015手,8.65,8.66,-0.12%,1.20%,5411万,9.92 ①,燃气Ⅱ,8.66,8.55,8.57,8.57,1.28%,1.16,-57.48%,-2243手,8.61,3.06万手,3.23万手,0.95,23手,1325手,1.21,5.26亿,45.5亿元,5.23亿,45.3亿元,1.41%,2.85%,3.78%,6.39%
1014,'603195,公牛集团,43.25,0.93%,0.4,9.38万手,953手,43.25,43.28,-0.14%,0.52%,4.05亿,18.47 ①,轻工制造,43.6,42.71,42.85,42.85,2.08%,2.1,-4.13%,-9手,43.14,4.67万手,4.70万手,0.99,10手,16手,4.39,18.1亿,782亿元,18.0亿,779亿元,1.00%,-1.73%,1.03%,1.76%
1015,'600969,郴电国际,10.83,0.93%,0.1,10.4万手,1820手,10.83,10.84,-0.28%,2.82%,1.13亿,88.54 ①,电力,10.92,10.62,10.74,10.73,2.80%,0.71,-5.65%,-154手,10.78,4.80万手,5.64万手,0.85,384手,8手,1.1,3.70亿,40.1亿元,3.70亿,40.1亿元,1.79%,-3.73%,10.49%,22.85%
1016,'605366,宏柏新材,12.01,0.92%,0.11,24.8万手,3612手,12.01,12.02,-0.17%,3.20%,2.95亿,亏损 ①,化学制品,12.05,11.74,11.88,11.9,2.61%,0.5,-40.45%,-1087手,11.91,13.4万手,11.4万手,1.18,149手,257手,3.48,7.76亿,93.2亿元,7.76亿,93.2亿元,-1.64%,-0.99%,18.38%,35.25%
1017,'688279,峰岹科技,243.9,0.92%,2.23,2.39万手,80手,243.87,243.9,0.05%,2.56%,5.83亿,79.52 ①,数字芯片设计,248.5,237,240.82,241.67,4.76%,0.99,-3.16%,-8手,243.51,1.04万手,1.35万手,0.77,2手,34手,5.4,1.15亿,281亿元,9356万,228亿元,6.40%,6.26%,8.60%,15.45%
1018,'603109,神驰机电,21.91,0.92%,0.2,1.80万手,122手,21.91,21.92,0.00%,0.86%,3923万,49.27 ①,其他通用设备,22.08,21.58,21.98,21.71,2.30%,0.65,42.38%,153手,21.79,8847手,9157手,0.97,187手,8手,2.32,2.09亿,45.8亿元,2.09亿,45.8亿元,0.55%,-3.78%,3.57%,7.52%
1019,'601188,龙江交通,3.29,0.92%,0.03,18.3万手,2791手,3.28,3.29,0.00%,1.40%,5994万,20.01 ①,铁路公路,3.3,3.24,3.27,3.26,1.84%,0.76,3.93%,1269手,3.27,7.69万手,10.6万手,0.72,4327手,6123手,0.95,13.1亿,42.9亿元,13.1亿,42.9亿元,-2.37%,-2.08%,6.33%,10.63%
