序,代码,名称,最新,涨幅,涨跌,成交量,现量,买一价,卖一价,涨速,换手,成交额,市盈率,所属行业,最高,最低,开盘,昨收,振幅,量比,委比,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅,6日涨幅,3日换手,6日换手
134,'920895,花溪科技,16,2.04%,0.32,5377手,70手,15.95,16,-0.12%,1.87%,856万,亏损 ①,农用机械,16.14,15.38,15.68,15.68,4.85%,1.32,-69.41%,-204手,15.92,1980手,3397手,0.58,10手,31手,4.72,5652万,9.04亿元,2874万,4.60亿元,-0.68%,-3.61%,4.85%,8.98%
135,'920339,恒太照明,8.51,2.04%,0.17,1.60万手,370手,8.5,8.51,-0.35%,1.06%,1355万,亏损 ①,照明设备Ⅱ,8.55,8.33,8.37,8.34,2.64%,1.59,-53.86%,-328手,8.49,5548手,1.04万手,0.53,56手,95手,3.12,2.20亿,18.7亿元,1.51亿,12.9亿元,0.71%,0.00%,2.11%,4.37%
136,'920000,安徽凤凰,16.02,2.04%,0.32,5394手,20手,16.02,16.04,0.00%,0.94%,862万,28.24 ①,底盘与发动机系统,16.1,15.53,15.61,15.7,3.63%,0.69,35.66%,258手,15.99,2167手,3227手,0.67,27手,21手,2.18,9168万,14.7亿元,5759万,9.23亿元,1.71%,-1.35%,3.57%,7.75%
137,'920223,荣亿精密,16.55,2.03%,0.33,1.61万手,166手,16.55,16.56,0.06%,1.97%,2649万,亏损 ①,通用设备,16.65,16.13,16.13,16.22,3.21%,0.64,-8.71%,-80手,16.44,7376手,8735手,0.84,185手,11手,10.91,1.57亿,26.0亿元,8158万,13.5亿元,-2.01%,-7.02%,7.40%,17.31%
138,'920656,海昇药业,15.86,1.99%,0.31,5492手,76手,15.79,15.86,0.44%,1.70%,863万,19.73 ①,化学制药,15.86,15.41,15.55,15.55,2.89%,0.85,-32.59%,-90手,15.71,1738手,3754手,0.46,14手,2手,2.19,1.00亿,15.9亿元,3238万,5.13亿元,-0.44%,-3.65%,4.89%,11.68%
139,'920007,酉立智能,52.74,1.99%,1.03,2953手,35手,52.74,52.75,0.00%,2.77%,1551万,41.70 ①,电力设备,52.94,51.58,51.58,51.71,2.63%,0.57,-58.76%,-102手,52.53,858手,2095手,0.41,30手,4手,3.61,4453万,23.5亿元,1064万,5.61亿元,-3.62%,-1.71%,9.34%,26.97%
140,'920009,丹娜生物,45.74,1.98%,0.89,2986手,10手,45.55,45.74,0.42%,2.96%,1372万,48.40 ①,体外诊断,46.6,44.99,44.99,44.85,3.59%,0.65,-67.16%,-123手,45.93,1697手,1290手,1.32,2手,3手,3.64,7755万,35.5亿元,1008万,4.61亿元,0.29%,-9.67%,9.34%,25.94%
141,'920943,优机股份,17.09,1.97%,0.33,5073手,53手,17.09,17.1,-0.06%,0.98%,867万,亏损 ①,通用设备,17.25,16.72,16.75,16.76,3.16%,0.63,-31.74%,-146手,17.09,1856手,3217手,0.58,31手,114手,2.66,1.02亿,17.4亿元,5181万,8.85亿元,-0.06%,-4.90%,3.73%,8.73%
142,'920942,恒立钻具,24.95,1.96%,0.48,6727手,59手,24.93,24.95,0.08%,1.62%,1671万,77.37 ①,工程机械器件,25.13,24.31,24.31,24.47,3.35%,0.66,26.67%,103手,24.85,2443手,4284手,0.57,22手,56手,3.03,6133万,15.3亿元,4142万,10.3亿元,0.36%,-2.08%,5.90%,13.94%
143,'920879,基康技术,17.76,1.95%,0.34,1.02万手,127手,17.73,17.76,0.17%,0.68%,1790万,55.02 ①,通用设备,17.79,17.2,17.25,17.42,3.39%,0.37,-5.75%,-30手,17.58,4567手,5616手,0.81,47手,45手,4.57,2.01亿,35.7亿元,1.50亿,26.7亿元,-3.84%,-0.22%,3.30%,9.88%
144,'920427,华维设计,12.56,1.95%,0.24,1.42万手,195手,12.55,12.56,-0.24%,2.80%,1775万,169.38 ①,建筑装饰,12.64,12.23,12.5,12.32,3.33%,0.74,-43.20%,-641手,12.46,5684手,8556手,0.66,24手,85手,4.12,1.03亿,12.9亿元,5091万,6.39亿元,0.32%,-4.85%,8.60%,21.61%
