序,代码,名称,最新,涨幅,涨跌,成交量,现量,买一价,卖一价,涨速,换手,成交额,市盈率,所属行业,最高,最低,开盘,昨收,振幅,量比,委比,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅,6日涨幅,3日换手,6日换手
265,'920270,天铭科技,17.46,-0.23%,-0.04,2.56万手,863手,17.46,17.48,0.40%,3.15%,4463万,76.33 ①,车身附件及饰件,17.84,17.15,17.47,17.5,3.94%,0.58,54.41%,253手,17.45,1.39万手,1.17万手,1.19,100手,30手,4.4,1.05亿,18.3亿元,8113万,14.2亿元,-0.80%,-6.98%,12.97%,30.48%
266,'920158,长江能科,11.67,-0.26%,-0.03,2.55万手,350手,11.66,11.67,0.09%,4.77%,2976万,亏损 ①,专用设备,11.88,11.6,11.78,11.7,2.39%,0.56,-46.50%,-712手,11.69,1.36万手,1.18万手,1.15,115手,466手,2.97,2.00亿,23.3亿元,5340万,6.23亿元,-1.16%,-3.78%,20.14%,47.15%
267,'920180,爱得科技,15.6,-0.32%,-0.05,1.32万手,103手,15.54,15.6,-0.06%,3.71%,2073万,38.00 ①,医疗器械,15.95,15.47,15.6,15.65,3.07%,0.79,-15.27%,-52手,15.69,8022手,5194手,1.54,10手,9手,2.33,1.18亿,18.4亿元,3567万,5.56亿元,1.43%,-3.82%,11.54%,27.17%
268,'920564,天润科技,24.76,-0.36%,-0.09,1.10万手,64手,24.75,24.76,-0.08%,2.68%,2735万,亏损 ①,IT服务Ⅲ,25.26,24.51,25.16,24.85,3.02%,0.84,-29.33%,-177手,24.87,5296手,5701手,0.93,41手,28手,7.21,8910万,22.1亿元,4099万,10.1亿元,2.10%,-4.51%,8.05%,18.60%
269,'920023,*ST田野,2.55,-0.39%,-0.01,9.45万手,2853手,2.54,2.55,0.00%,3.52%,2386万,319.02 ①,果蔬加工,2.59,2.5,2.5,2.56,3.52%,0.47,-2.94%,-366手,2.52,6.63万手,2.82万手,2.35,97手,901手,0.69,3.27亿,8.35亿元,2.69亿,6.85亿元,-2.30%,9.44%,13.74%,41.02%
270,'920976,视声智能,29.3,-0.41%,-0.12,3221手,207手,29.3,29.33,-0.17%,0.73%,952万,40.44 ①,计算机,29.88,29.3,29.74,29.42,1.97%,0.42,-69.78%,-135手,29.54,1943手,1278手,1.52,6手,1手,7.12,7095万,20.8亿元,4412万,12.9亿元,-1.08%,-4.47%,3.90%,9.39%
271,'920168,通宝光电,21.78,-0.46%,-0.1,1.29万手,200手,21.69,21.78,0.46%,4.58%,2827万,64.73 ①,汽车电子电气系统,22.33,21.51,21.96,21.88,3.75%,0.87,81.93%,219手,21.89,8605手,4307手,2,25手,6手,2,7517万,16.4亿元,2817万,6.14亿元,3.27%,-0.82%,16.61%,30.91%
272,'920033,康普化学,17.09,-0.47%,-0.08,7710手,194手,17.08,17.09,0.00%,0.93%,1322万,19.56 ①,化学制品,17.37,17.01,17.06,17.17,2.10%,0.63,-26.05%,-131手,17.15,3632手,4078手,0.89,4手,39手,2.64,1.19亿,20.4亿元,8276万,14.1亿元,-1.04%,-2.68%,3.50%,8.36%
273,'920003,中诚咨询,30.9,-0.52%,-0.16,3058手,30手,30.87,30.9,0.16%,2.30%,946万,11.90 ①,建筑装饰,31.27,30.74,31.27,31.06,1.71%,0.54,-8.36%,-18手,30.93,1698手,1359手,1.25,13手,49手,3.05,6471万,20.0亿元,1331万,4.11亿元,-0.61%,-3.59%,7.56%,23.45%
274,'920505,九菱科技,37.78,-0.58%,-0.22,9755手,217手,37.75,37.78,0.00%,2.71%,3698万,151.22 ①,通用设备,38.68,37.53,38.16,38,3.03%,0.67,29.96%,122手,37.91,5070手,4685手,1.08,70手,18手,7.2,6479万,24.5亿元,3601万,13.6亿元,-5.12%,-12.20%,10.44%,22.99%
275,'920857,泓禧科技,17.88,-0.67%,-0.12,1.07万手,146手,17.87,17.88,0.51%,1.45%,1925万,亏损 ①,消费电子,18.3,17.72,17.9,18,3.22%,1.19,-45.63%,-227手,17.96,4851手,5865手,0.83,3手,44手,3.88,7401万,13.2亿元,7401万,13.2亿元,-6.14%,-8.17%,3.95%,7.51%
276,'920394,民士达,47.56,-0.69%,-0.33,1.50万手,53手,47.56,47.6,0.23%,1.03%,7185万,56.86 ①,造纸,49.13,47.1,47.54,47.89,4.24%,0.68,9.71%,9手,47.95,8016手,6968手,1.15,14手,6手,8.25,1.46亿,69.6亿元,1.45亿,69.0亿元,-8.22%,-6.05%,4.08%,8.65%
277,'920374,云里物里,20.16,-0.69%,-0.14,1.15万手,82手,20.16,20.18,-0.10%,3.38%,2317万,206.30 ①,通信设备,20.52,19.6,20.14,20.3,4.53%,1.47,77.67%,284手,20.07,5617手,5928手,0.95,16手,29手,6.24,8152万,16.4亿元,3411万,6.88亿元,2.70%,-1.42%,9.37%,14.92%
278,'920971,天马新材,30.2,-0.92%,-0.28,3.94万手,204手,30.2,30.21,-0.17%,4.60%,1.18亿,150.24 ①,非金属材料Ⅲ,30.75,29.11,30.55,30.48,5.38%,0.65,32.57%,175手,29.99,2.15万手,1.79万手,1.2,95手,35手,6.72,1.05亿,31.7亿元,8570万,25.9亿元,-7.65%,-4.31%,17.31%,40.09%
279,'920809,安达科技,9.74,-1.02%,-0.1,22.9万手,2512手,9.74,9.75,0.00%,4.97%,2.21亿,22.40 ①,电力设备,10,9.53,9.78,9.84,4.78%,0.58,42.43%,2081手,9.69,12.7万手,10.1万手,1.25,1185手,216手,3.57,5.99亿,58.3亿元,4.60亿,44.8亿元,-2.60%,9.44%,18.30%,47.79%
280,'920124,南特科技,16.85,-1.06%,-0.18,3.64万手,519手,16.85,16.86,0.00%,4.75%,6152万,25.49 ①,通用设备,17.25,16.65,17.2,17.03,3.52%,1.02,39.90%,339手,16.92,2.10万手,1.53万手,1.37,63手,30手,2.32,1.49亿,25.1亿元,7653万,12.9亿元,6.24%,3.37%,18.89%,28.15%
281,'920821,则成电子,23.04,-1.12%,-0.26,1.48万手,174手,23.03,23.04,0.04%,2.04%,3431万,亏损 ①,印制电路板,23.5,22.88,23.37,23.3,2.66%,0.57,-16.26%,-73手,23.11,8381手,6464手,1.3,19手,19手,6.09,1.38亿,31.9亿元,7285万,16.8亿元,-1.96%,-6.57%,6.79%,19.98%
282,'920061,西磁科技,25.34,-1.13%,-0.29,9648手,101手,25.34,25.4,-0.24%,2.45%,2460万,354.18 ①,专用设备,25.91,25.28,25.49,25.63,2.46%,0.45,-40.95%,-111手,25.5,4735手,4912手,0.96,60手,2手,6.4,7079万,17.9亿元,3936万,9.97亿元,-4.99%,-14.10%,12.58%,29.96%
283,'920045,蘅东光,553.99,-1.25%,-7.01,9923手,75手,553.98,553.99,-0.12%,4.93%,5.36亿,112.12 ①,通信设备,568.45,521.11,551,561,8.44%,0.8,-34.76%,-14手,539.67,5881手,4042手,1.45,1手,1手,32.61,6807万,377亿元,2013万,112亿元,-4.65%,-7.08%,17.16%,35.59%
284,'920357,DR雅葆轩,19.35,-1.33%,-0.26,1.51万手,113手,19.3,19.35,0.10%,2.60%,2903万,24.28 ①,消费电子,19.72,18.98,19.7,19.61,3.77%,0.69,-9.96%,-29手,19.27,9623手,5443手,1.77,40手,48手,3.65,1.04亿,20.1亿元,5787万,11.2亿元,-3.47%,-7.86%,7.81%,21.52%
285,'920166,海圣医疗,26.79,-1.33%,-0.36,7135手,108手,26.79,26.84,-0.07%,3.00%,1931万,41.67 ①,医疗器械,27.6,26.71,27.48,27.15,3.28%,0.71,35.49%,56手,27.06,4663手,2472手,1.89,83手,4手,3.24,7529万,20.2亿元,2376万,6.37亿元,-1.25%,-9.09%,8.98%,24.04%
286,'920725,惠丰钻石,32.1,-1.53%,-0.5,2.01万手,339手,32.1,32.13,0.16%,4.85%,6453万,409.80 ①,磨具磨料,32.89,31.62,32.4,32.6,3.90%,0.47,75.06%,225手,32.03,1.06万手,9573手,1.1,81手,18手,4.87,9128万,29.3亿元,4157万,13.3亿元,-3.66%,-1.98%,18.76%,56.79%
287,'920174,五新隧装,38.85,-1.75%,-0.69,1.34万手,208手,38.85,38.88,0.00%,2.43%,5263万,35.84 ①,建筑装饰,39.94,38.8,39.45,39.54,2.88%,0.59,20.43%,74手,39.15,7841手,5601手,1.4,73手,6手,3.16,2.17亿,84.3亿元,5528万,21.5亿元,-4.85%,-3.84%,8.88%,23.07%
288,'920159,农大科技,39.08,-1.76%,-0.7,1.07万手,167手,39.07,39.08,0.00%,7.46%,4212万,16.55 ①,农化制品,39.88,38.82,39.57,39.78,2.66%,0.68,-3.46%,-11手,39.21,6220手,4522手,1.38,22手,95手,2.67,7600万,29.7亿元,1440万,5.63亿元,-1.69%,-6.91%,25.61%,62.49%
289,'920665,科强股份,12.18,-1.77%,-0.22,5.19万手,932手,12.18,12.19,-0.16%,8.10%,6361万,41.71 ①,橡胶,12.6,12.03,12.05,12.4,4.60%,1.16,40.21%,308手,12.26,3.15万手,2.04万手,1.54,80手,101手,2.16,1.30亿,15.8亿元,6407万,7.80亿元,9.43%,5.45%,35.91%,42.96%
290,'920576,天力复合,69.5,-1.81%,-1.28,2.20万手,186手,69.5,69.52,-0.07%,2.06%,1.54亿,1245.34 ①,有色金属,72,68.83,70,70.78,4.48%,0.79,-38.88%,-47手,70.17,1.21万手,9829手,1.24,24手,2手,16.93,1.09亿,75.7亿元,1.07亿,74.3亿元,-3.03%,-10.76%,6.18%,15.04%
291,'920077,吉林碳谷,17.29,-1.98%,-0.35,9.17万手,1130手,17.29,17.3,0.41%,3.02%,1.58亿,61.69 ①,化学纤维,17.59,17.14,17.59,17.64,2.55%,0.85,-17.72%,-94手,17.26,5.18万手,3.99万手,1.3,36手,175手,3.8,5.88亿,102亿元,3.03亿,52.4亿元,-2.97%,-11.15%,8.51%,20.73%
292,'920533,骏创科技,25.15,-2.14%,-0.55,3.13万手,156手,25.15,25.16,0.16%,4.28%,7973万,104.25 ①,车身附件及饰件,26.18,25,25.8,25.7,4.59%,0.63,77.60%,537手,25.46,1.84万手,1.29万手,1.42,11手,2手,8.62,1.31亿,32.9亿元,7314万,18.4亿元,-1.10%,-0.98%,18.16%,38.25%
293,'920076,国亮新材,21.7,-2.52%,-0.56,1.65万手,4750手,21.7,21.74,-0.73%,6.25%,3568万,19.92 ①,耐火材料,22.43,21.68,22.35,22.26,3.37%,1.1,35.23%,67手,21.68,1.07万手,5709手,1.88,55手,2手,1.82,8363万,18.1亿元,2631万,5.71亿元,-2.69%,-2.95%,17.02%,34.61%
294,'920489,佳先股份,16.02,-2.61%,-0.43,3.70万手,351手,16.02,16.04,0.06%,4.26%,5930万,亏损 ①,化学原料,16.34,15.76,16.15,16.45,3.53%,0.83,32.50%,203手,16.03,2.40万手,1.30万手,1.85,42手,20手,4.56,1.36亿,21.9亿元,8683万,13.9亿元,4.03%,5.26%,17.64%,30.08%
295,'920751,惠同新材,23.43,-2.62%,-0.63,1.51万手,62手,23.37,23.43,-0.04%,1.82%,3548万,43.45 ①,有色金属,23.98,22.99,22.99,24.06,4.11%,1.65,72.67%,391手,23.49,7115手,7991手,0.89,77手,34手,4.92,8678万,20.3亿元,8307万,19.5亿元,-4.95%,-9.54%,3.51%,7.34%
296,'920086,科马材料,31.13,-2.96%,-0.95,1.86万手,202手,31.13,31.14,0.00%,6.94%,5857万,26.71 ①,底盘与发动机系统,32.89,30.92,32.6,32.08,6.14%,0.62,35.30%,195手,31.53,1.31万手,5454手,2.41,152手,21手,2.96,8368万,26.0亿元,2674万,8.33亿元,-2.05%,-1.98%,20.96%,63.22%
297,'920200,振宏股份,66.96,-3.10%,-2.14,5.13万手,502手,66.94,66.96,0.07%,21.20%,3.52亿,46.73 ④,电力设备,72.18,66.68,68.4,69.1,7.96%,0.55,18.42%,133手,68.65,2.86万手,2.27万手,1.26,8手,77手,7.33,1.02亿,68.0亿元,2422万,16.2亿元,1.76%,-4.71%,78.79%,213.96%
298,'920191,瑞尔竞达,13.15,-3.17%,-0.43,7.38万手,271手,13.15,13.16,-0.15%,18.48%,9724万,27.40 ①,耐火材料,13.62,12.91,13.6,13.58,5.23%,1.06,-48.93%,-442手,13.18,5.01万手,2.37万手,2.11,10手,19手,2.48,1.77亿,23.3亿元,3992万,5.25亿元,3.46%,-4.22%,52.33%,105.38%
299,'920438,戈碧迦,62.45,-3.27%,-2.11,7.21万手,652手,62.45,62.46,0.06%,5.17%,4.54亿,197.18 ①,光学元件,65.98,61.53,64,64.56,6.89%,0.6,25.28%,143手,62.97,4.02万手,3.20万手,1.26,101手,4手,9.23,1.45亿,90.8亿元,1.39亿,87.1亿元,-4.36%,-10.63%,18.71%,48.38%
300,'920106,林泰新材,50.28,-3.51%,-1.83,1.10万手,148手,50.28,50.3,0.16%,2.52%,5539万,30.69 ①,底盘与发动机系统,51.69,50,50.67,52.11,3.24%,1.1,11.48%,9手,50.31,6193手,4816手,1.29,19手,5手,4.7,5659万,28.5亿元,4365万,21.9亿元,-10.85%,-8.98%,7.42%,14.00%
301,'920010,凯添燃气,12.88,-3.66%,-0.49,10.8万手,838手,12.87,12.88,0.23%,6.20%,1.40亿,80.24 ①,燃气Ⅱ,13.39,12.81,13.17,13.37,4.34%,0.85,29.81%,282手,13.03,6.54万手,4.22万手,1.55,43手,25手,4.34,2.35亿,30.2亿元,1.73亿,22.3亿元,-4.24%,-4.94%,17.84%,42.73%
302,'920069,普昂医疗,40.85,-3.86%,-1.64,1.66万手,104手,40.85,40.9,-0.61%,11.23%,7002万,22.84 ①,医疗器械,44.09,40.65,43.04,42.49,8.10%,1.15,3.52%,3手,42.18,1.09万手,5657手,1.93,5手,4手,2.73,5291万,21.6亿元,1478万,6.04亿元,-0.73%,-9.22%,27.71%,60.03%
303,'920028,新恒泰,20.9,-3.95%,-0.86,6.38万手,500手,20.9,20.92,0.05%,9.82%,1.34亿,38.88 ①,其他塑料制品,21.64,20.6,21.45,21.76,4.78%,0.5,46.37%,383手,20.96,3.27万手,3.11万手,1.05,16手,9手,3.03,1.64亿,34.4亿元,6496万,13.6亿元,-6.40%,-1.32%,38.48%,107.50%
304,'920055,隆源股份,37.75,-4.09%,-1.61,2.10万手,73手,37.75,37.79,0.00%,13.72%,8011万,18.29 ①,汽车,39.35,37.59,39.35,39.36,4.47%,0.93,32.45%,104手,38.15,1.32万手,7804手,1.69,120手,10手,2.1,6800万,25.7亿元,1530万,5.78亿元,3.20%,-3.33%,46.21%,87.38%
305,'920015,锦华新材,45.6,-4.10%,-1.95,3.23万手,283手,45.6,45.62,-0.04%,8.06%,1.47亿,53.06 ①,化学制品,47.15,45.01,46.55,47.55,4.50%,0.73,42.44%,246手,45.71,1.80万手,1.43万手,1.26,159手,98手,3.62,1.36亿,61.8亿元,4001万,18.2亿元,1.31%,7.57%,33.87%,63.32%
306,'920177,恒道科技,38.99,-4.37%,-1.78,2.93万手,698手,38.99,39.04,0.49%,24.85%,1.15亿,29.63 ①,其他通用设备,40.79,38.39,40.78,40.77,5.89%,0.9,-51.37%,-112手,39.28,1.81万手,1.12万手,1.62,0手,5手,3.63,5232万,20.4亿元,1177万,4.59亿元,13.77%,3.15%,93.79%,162.87%
307,'920088,科力股份,43.86,-4.38%,-2.01,5.32万手,664手,43.86,43.87,-0.09%,16.34%,2.35亿,222.08 ①,油服工程,45.33,43.36,44.11,45.87,4.29%,1.16,-64.48%,-217手,44.16,3.08万手,2.24万手,1.37,8手,110手,5.51,8807万,38.6亿元,3257万,14.3亿元,5.33%,-2.29%,53.62%,87.06%
308,'920188,悦龙科技,30.33,-4.68%,-1.49,3.12万手,231手,30.33,30.34,-0.03%,15.79%,9537万,19.62 ①,橡胶,31.76,29.82,31.76,31.82,6.10%,0.94,54.92%,238手,30.52,2.07万手,1.06万手,1.95,101手,14手,3.09,8299万,25.2亿元,1979万,6.00亿元,3.13%,-1.69%,50.76%,99.42%
309,'920036,觅睿科技,48.99,-4.69%,-2.41,2.27万手,210手,48.99,49,0.60%,17.38%,1.12亿,175.68 ①,计算机,51.63,48.28,50.77,51.4,6.52%,0.79,41.63%,33手,49.5,1.54万手,7306手,2.11,0手,10手,4.49,5442万,26.7亿元,1306万,6.40亿元,4.23%,-5.48%,54.21%,127.70%
310,'920011,晨光电机,29,-4.89%,-1.49,4.85万手,561手,28.98,29,-0.28%,26.06%,1.43亿,37.72 ①,电力设备,30.4,28.81,30.3,30.49,5.21%,0.9,-16.00%,-40手,29.51,2.90万手,1.94万手,1.49,64手,1手,2.82,8267万,24.0亿元,1860万,5.39亿元,10.69%,4.32%,107.01%,170.43%
311,'920368,连城数控,41.26,-6.18%,-2.72,13.4万手,2186手,41.26,41.28,0.00%,6.00%,5.66亿,198.78 ①,电力设备,45.12,41.06,44.5,43.98,9.23%,0.76,37.70%,396手,42.22,7.57万手,5.84万手,1.3,149手,189手,2.29,2.35亿,96.9亿元,2.23亿,92.2亿元,-8.27%,5.04%,20.65%,45.35%
312,'920981,晶赛科技,40.54,-6.33%,-2.74,5.29万手,681手,40.54,40.55,-0.12%,14.18%,2.14亿,194.87 ①,被动元件,42.49,39.2,41.23,43.28,7.60%,0.85,19.77%,50手,40.37,3.28万手,2.01万手,1.64,19手,5手,6.05,7647万,31.0亿元,3731万,15.1亿元,4.62%,-1.53%,52.27%,97.81%
313,'920183,XD海菲曼,42.25,-6.71%,-3.04,1.63万手,120手,42.24,42.25,0.00%,14.48%,6958万,27.50 ①,消费电子,45,41.61,45,45.29,7.49%,0.91,54.91%,114手,42.71,1.08万手,5530手,1.95,85手,6手,4.31,4895万,20.7亿元,1125万,4.75亿元,3.05%,-5.44%,41.61%,94.24%
314,'920125,鸿仕达,143,-6.99%,-10.75,3.10万手,623手,143,143.34,0.70%,18.82%,4.45亿,1412.37 ①,其他自动化设备,149.93,137,148.99,153.75,8.41%,0.72,95.56%,831手,143.33,1.87万手,1.23万手,1.52,811手,5手,12.49,5616万,80.3亿元,1648万,23.6亿元,-3.70%,10.79%,63.52%,149.94%
315,'920181,赛英电子,122.8,-7.53%,-10,2.31万手,275手,122.8,122.9,-0.15%,23.04%,2.86亿,49.14 ①,半导体,129.99,118.01,127,132.8,9.02%,0.79,42.95%,162手,123.77,1.45万手,8587手,1.69,246手,26手,8,4320万,53.0亿元,1002万,12.3亿元,-3.38%,7.76%,78.95%,169.78%
316,'920186,中科仪,116.09,-7.87%,-9.91,19.1万手,1945手,116.09,116.1,-0.09%,19.97%,22.5亿,37.86 ①,其他通用设备,123.96,114.06,120.5,126,7.86%,0.91,21.21%,102手,118.03,11.2万手,7.91万手,1.41,15手,46手,7.54,2.24亿,260亿元,9553万,111亿元,2.73%,5.55%,63.34%,130.32%
317,'920156,海昌智能,69.24,-8.65%,-6.56,5.68万手,771手,69.24,69.25,-0.01%,26.18%,4.07亿,20.69 ①,其他自动化设备,78.78,68.25,76.06,75.8,13.89%,0.96,43.94%,117手,71.58,3.53万手,2.15万手,1.64,2手,38手,7.38,1.04亿,72.1亿元,2171万,15.0亿元,3.34%,-2.15%,87.65%,163.09%
318,'920078,族兴新材,32.08,-8.73%,-3.07,6.26万手,877手,32.08,32.09,0.28%,30.25%,2.07亿,101.35 ①,有色金属,35.96,31.3,35.79,35.15,13.26%,0.97,-65.28%,-294手,33.11,3.89万手,2.37万手,1.65,27手,40手,3.89,1.20亿,38.5亿元,2070万,6.64亿元,2.36%,-6.03%,80.61%,185.57%
319,'920012,创达新材,70.95,-9.35%,-7.32,4.25万手,332手,70.95,70.97,-0.06%,32.00%,3.05亿,54.56 ①,电子化学品Ⅱ,76,68.22,76,78.27,9.94%,0.86,-27.00%,-83手,71.87,2.65万手,1.60万手,1.66,68手,4手,4.28,4932万,35.0亿元,1327万,9.41亿元,-6.40%,1.33%,97.04%,218.71%
320,'920096,嘉晨智能,88.88,-20.65%,-23.13,11.0万手,1465手,88.85,88.88,-0.02%,67.65%,9.96亿,86.10 ④,工控设备,98.76,85,89.86,112.01,12.28%,0.71,-35.72%,-59手,90.89,6.06万手,4.89万手,1.24,15手,42手,10.32,6900万,61.3亿元,1620万,14.4亿元,515.94%,515.94%,162.64%,162.64%
