序,代码,名称,最新,涨幅,涨跌,成交量,现量,买一价,卖一价,涨速,换手,成交额,市盈率,所属行业,最高,最低,开盘,昨收,振幅,量比,委比,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅,6日涨幅,3日换手,6日换手
2650,'000818,航锦科技,16.51,1.04%,0.17,30.4万手,3934手,16.51,16.52,0.00%,4.62%,5.01亿,168.56 ①,化学原料,16.79,16.1,16.32,16.34,4.22%,0.62,12.98%,515手,16.49,15.5万手,14.9万手,1.04,866手,535手,4.99,6.60亿,109亿元,6.58亿,109亿元,-5.93%,-8.99%,18.39%,42.07%
2651,'000817,辽河油田,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2652,'000816,智慧农业,2.84,0.71%,0.02,23.5万手,4305手,2.83,2.84,0.35%,1.63%,6635万,亏损 ①,底盘与发动机系统,2.85,2.79,2.82,2.82,2.13%,0.7,14.10%,6498手,2.82,11.1万手,12.4万手,0.89,6737手,71手,2.11,14.5亿,41.1亿元,14.4亿,40.9亿元,-3.73%,-7.19%,6.94%,13.34%
2653,'000815,美利云,21.12,1.78%,0.37,75.4万手,9958手,21.12,21.13,-0.05%,10.84%,15.6亿,165.37 ①,IT服务Ⅲ,21.13,20,20.55,20.75,5.45%,0.77,38.18%,4238手,20.74,36.6万手,38.8万手,0.94,5053手,1265手,10.44,6.95亿,147亿元,6.95亿,147亿元,-1.03%,-3.30%,34.64%,81.61%
2654,'000813,德展健康,4.37,6.33%,0.26,103万手,9008手,4.37,4.38,0.00%,4.91%,4.41亿,亏损 ①,化学制剂,4.42,4.1,4.12,4.11,7.79%,1.48,-37.14%,-1.39万手,4.28,42.9万手,60.1万手,0.71,1265手,5776手,1.99,21.0亿,91.6亿元,21.0亿,91.6亿元,11.20%,15.61%,11.16%,21.49%
2655,'000812,陕西金叶,4.02,0.75%,0.03,18.0万手,1533手,4.01,4.02,0.00%,2.39%,7213万,79.76 ①,纸包装,4.04,3.95,3.98,3.99,2.26%,1.18,-41.01%,-8827手,4,9.02万手,9.02万手,1,2648手,116手,2.07,7.56亿,30.4亿元,7.56亿,30.4亿元,3.08%,-1.23%,6.98%,12.49%
2656,'000811,冰轮环境,38.06,10.00%,3.46,65.9万手,4364手,38.06,--,0.00%,6.74%,23.7亿,80.56 ①,通用设备,38.06,33.8,34.26,34.6,12.31%,1.09,100.00%,5721手,35.97,33.1万手,32.8万手,1.01,4092手,0手,5.78,9.92亿,378亿元,9.78亿,372亿元,13.07%,31.65%,17.84%,37.67%
2657,'000810,创维数字,12.58,3.11%,0.38,12.2万手,1097手,12.57,12.58,0.08%,1.10%,1.51亿,43.64 ①,家用电器,12.6,12.16,12.23,12.2,3.61%,0.93,-65.10%,-1940手,12.38,5.41万手,6.79万手,0.8,36手,470手,2.2,11.5亿,145亿元,11.1亿,140亿元,1.45%,-2.48%,3.48%,7.02%
2658,'000809,和展能源,3.97,0.25%,0.01,13.5万手,1484手,3.96,3.97,0.00%,1.64%,5353万,245.18 ①,电力设备,4.02,3.89,3.93,3.96,3.28%,0.66,-55.44%,-5896手,3.96,7.19万手,6.35万手,1.13,509手,17手,1.23,8.25亿,32.7亿元,8.25亿,32.7亿元,2.06%,1.79%,6.40%,14.06%
2659,'000807,云铝股份,30.01,3.48%,1.01,60.9万手,7970手,30.01,30.02,-0.30%,1.76%,18.0亿,7.23 ①,有色金属,30.15,28.82,29.29,29,4.59%,0.91,34.09%,656手,29.48,30.8万手,30.1万手,1.02,193手,116手,2.92,34.7亿,1041亿元,34.7亿,1041亿元,-4.97%,-4.06%,5.94%,11.39%
2660,'000806,银河退,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11.0亿,--,8.82亿,--,--,--,--,--
2661,'000805,*ST炎黄,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
