board_code,board_name
BK1269,旅游零售Ⅱ
BK1270,专业连锁Ⅱ
BK1271,酒店餐饮
BK1272,旅游及景区
BK1273,体育Ⅱ
BK1274,炼化及贸易
BK1275,油服工程
BK1276,油气开采Ⅱ
BK1277,白酒Ⅱ
BK1278,调味发酵品Ⅱ
BK1279,非白酒
BK1280,食品加工
BK1281,休闲食品
BK1282,饮料乳品
BK1283,银行
BK1287,工业金属
BK1288,金属新材料
BK1289,大众出版
BK1290,教育出版
BK1291,电视广播Ⅲ
BK1292,广告媒体
BK1293,营销代理
BK1295,其他数字媒体
BK1296,视频媒体
BK1297,图片媒体
BK1298,文字媒体
BK1299,影视动漫制作
BK1300,院线
BK1301,游戏Ⅲ
BK1302,电池化学品
BK1303,锂电池
BK1304,锂电专用设备
BK1305,燃料电池
BK1306,蓄电池及其他电池
BK1307,电机Ⅲ
BK1308,电工仪器仪表
BK1309,电网自动化设备
BK1310,配电设备
BK1311,输变电设备
BK1312,线缆部件及其他
BK1313,风电零部件
BK1314,风电整机
BK1315,光伏电池组件
BK1316,光伏辅材
BK1317,光伏加工设备
BK1318,光伏主材
BK1319,硅料硅片
BK1320,逆变器
BK1321,火电设备
BK1322,其他电源设备Ⅲ
BK1323,综合电力设备商
BK1325,半导体材料
BK1326,半导体设备
BK1327,分立器件
BK1328,集成电路封测
BK1329,集成电路制造
BK1330,模拟芯片设计
BK1331,数字芯片设计
BK1332,电子化学品Ⅲ
BK1333,LED
BK1334,光学元件
BK1335,面板
BK1336,其他电子Ⅲ
BK1337,品牌消费电子
BK1338,消费电子零部件及组装
BK1339,被动元件
BK1340,印制电路板
BK1341,房产租赁经纪
BK1342,房地产综合服务
BK1343,物业管理
BK1344,产业地产
BK1345,商业地产
BK1346,住宅开发
BK1347,纺织鞋类制造
BK1348,辅料
BK1349,棉纺
BK1351,印染
BK1352,非运动服装
BK1353,家纺
BK1354,鞋帽及其他
BK1355,运动服装
BK1356,其他饰品
BK1357,钟表珠宝
BK1358,保险Ⅲ
BK1359,金融控股
BK1360,金融信息服务
BK1361,期货
BK1363,信托
BK1364,资产管理
BK1365,租赁
BK1366,证券Ⅲ
BK1367,板材
BK1368,钢铁管材
BK1369,长材
BK1370,特钢Ⅲ
BK1371,铁矿石
BK1372,冶钢辅料
BK1373,电能综合服务
BK1374,风力发电
BK1375,光伏发电
BK1376,核力发电
BK1377,火力发电
BK1378,其他能源发电
BK1379,热力服务
BK1380,水力发电
BK1381,燃气Ⅲ
BK1382,地面兵装Ⅲ
BK1383,航海装备Ⅲ
BK1384,航空装备Ⅲ
BK1385,航天装备Ⅲ
BK1386,军工电子Ⅲ
BK1387,环保设备Ⅲ
BK1388,大气治理
BK1389,固废治理
BK1390,水务及水治理
BK1391,综合环境治理
BK1392,工程机械器件
BK1393,工程机械整机
BK1394,轨交设备Ⅲ
BK1395,机床工具
BK1396,金属制品
BK1397,磨具磨料
BK1398,其他通用设备
BK1400,制冷空调设备
BK1401,纺织服装设备
BK1402,楼宇设备
BK1403,能源及重型设备
BK1404,农用机械
BK1405,其他专用设备
BK1406,印刷包装机械
BK1407,工控设备
BK1408,机器人
BK1409,激光设备
BK1411,非金属材料Ⅲ
BK1412,氨纶
BK1413,涤纶
BK1414,锦纶
BK1415,其他化学纤维
BK1416,粘胶
BK1417,纯碱
BK1418,氯碱
BK1419,煤化工
BK1420,其他化学原料
BK1421,钛白粉
BK1422,无机盐
BK1423,纺织化学制品
BK1424,氟化工
BK1425,胶黏剂及胶带
BK1426,聚氨酯
BK1427,民爆制品
BK1428,其他化学制品
BK1429,食品及饲料添加剂
BK1430,涂料油墨
BK1431,有机硅
BK1432,氮肥
BK1433,复合肥
BK1434,钾肥
BK1435,磷肥及磷化工
BK1436,农药
BK1437,改性塑料
BK1438,合成树脂
BK1439,膜材料
BK1440,其他塑料制品
BK1441,其他橡胶制品
BK1442,炭黑
BK1443,橡胶助剂
BK1444,IT服务Ⅲ
BK1445,安防设备
BK1446,其他计算机设备
BK1447,垂直应用软件
BK1455,家电零部件Ⅲ
BK1456,其他家电Ⅲ
BK1460,照明设备Ⅲ
BK1461,玻璃制造
BK1462,玻纤制造
BK1463,水泥制品
BK1465,防水材料
BK1466,管材
BK1467,耐火材料
