股票代码,股票名称,最低收盘价,最高收盘价,涨幅
688045.SH,必易微,46.19,62.36,35.01%
300649.SZ,杭州园林,18.97,25.59,34.90%
301377.SZ,鼎泰高科,335.00,451.84,34.88%
301018.SZ,申菱环境,68.66,92.60,34.87%
300686.SZ,智动力,11.86,15.99,34.82%
688669.SH,聚石化学,56.30,75.84,34.71%
000962.SZ,东方钽业,42.67,57.45,34.64%
000026.SZ,飞亚达,15.71,21.15,34.63%
688368.SH,晶丰明源,96.59,130.02,34.61%
300154.SZ,瑞凌股份,7.87,10.59,34.56%
300319.SZ,麦捷科技,14.30,19.24,34.55%
688800.SH,瑞可达,47.00,63.23,34.53%
600363.SH,联创光电,20.36,27.38,34.48%
301393.SZ,昊帆生物,51.38,69.09,34.47%
603011.SH,合锻智能,18.60,25.01,34.46%
301165.SZ,锐捷网络,107.02,143.90,34.46%
300693.SZ,盛弘股份,34.79,46.77,34.44%
002589.SZ,瑞康医药,2.76,3.71,34.42%
603931.SH,格林达,29.30,39.35,34.30%
000936.SZ,华西股份,5.19,6.97,34.30%
002687.SZ,乔治白,4.87,6.54,34.29%
001331.SZ,胜通能源,42.81,57.46,34.22%
688627.SH,精智达,371.88,498.99,34.18%
688610.SH,埃科光电,118.48,158.80,34.03%
002436.SZ,兴森科技,26.30,35.25,34.03%
002645.SZ,华宏科技,16.03,21.48,34.00%
300395.SZ,菲利华,70.89,94.99,34.00%
300139.SZ,晓程科技,39.18,52.49,33.97%
300345.SZ,华民股份,5.54,7.42,33.94%
688238.SH,和元生物,5.60,7.50,33.93%
000048.SZ,京基智农,18.02,24.13,33.91%
688359.SH,三孚新科,79.35,106.20,33.84%
300916.SZ,朗特智能,19.74,26.40,33.74%
002222.SZ,福晶科技,49.02,65.50,33.62%
300909.SZ,汇创达,40.66,54.32,33.60%
301086.SZ,鸿富瀚,90.90,121.42,33.58%
002425.SZ,凯撒文化,2.86,3.82,33.57%
600881.SH,亚泰集团,1.70,2.27,33.53%
688548.SH,广钢气体,29.23,39.00,33.42%
688531.SH,日联科技,107.77,143.78,33.41%
688362.SH,甬矽电子,51.70,68.96,33.38%
002851.SZ,麦格米特,98.86,131.86,33.38%
300870.SZ,欧陆通,171.25,228.31,33.32%
300626.SZ,华瑞股份,26.78,35.69,33.27%
603115.SH,海星股份,64.12,85.45,33.27%
603118.SH,共进股份,13.18,17.56,33.23%
688333.SH,铂力特,82.84,110.34,33.20%
300005.SZ,探路者,9.44,12.57,33.16%
002943.SZ,宇晶股份,27.20,36.21,33.13%
002674.SZ,兴业科技,22.25,29.62,33.12%
688131.SH,皓元医药,75.18,100.08,33.12%
301067.SZ,显盈科技,24.54,32.65,33.05%
300480.SZ,光力科技,26.55,35.31,32.99%
600487.SH,亨通光电,47.37,62.98,32.95%
301338.SZ,凯格精机,76.95,102.30,32.94%
688102.SH,斯瑞新材,28.98,38.51,32.88%
300560.SZ,中富通,12.96,17.22,32.87%
688727.SH,恒坤新材,37.76,50.15,32.81%
688257.SH,新锐股份,47.44,63.00,32.80%
688478.SH,晶升股份,38.46,51.07,32.79%
688783.SH,西安奕材-U,24.10,32.00,32.78%
605376.SH,博迁新材,131.10,173.99,32.72%
002973.SZ,侨银股份,9.34,12.39,32.66%
688260.SH,昀冢科技,96.69,128.26,32.65%
600105.SH,永鼎股份,31.17,41.33,32.60%
603459.SH,红板科技,79.67,105.58,32.52%
603738.SH,泰晶科技,28.92,38.30,32.43%
688498.SH,源杰科技,1147.01,1519.00,32.43%
603655.SH,朗博科技,26.11,34.54,32.29%
688690.SH,纳微科技,33.15,43.85,32.28%
603236.SH,移远通信,45.89,60.69,32.25%
301369.SZ,联动科技,109.41,144.55,32.12%
300863.SZ,卡倍亿,33.24,43.90,32.07%
688048.SH,长光华芯,236.29,312.00,32.04%
688200.SH,华峰测控,319.88,422.10,31.96%
600449.SH,宁夏建材,11.75,15.50,31.91%
300576.SZ,容大感光,24.95,32.90,31.86%
301591.SZ,肯特股份,26.40,34.81,31.86%
603283.SH,赛腾股份,36.61,48.25,31.79%
600379.SH,宝光股份,11.23,14.80,31.79%
002364.SZ,中恒电气,34.15,45.00,31.77%
688356.SH,键凯科技,62.39,82.20,31.75%
600961.SH,株冶集团,22.90,30.17,31.75%
600367.SH,红星发展,25.62,33.75,31.73%
301218.SZ,华是科技,36.82,48.50,31.72%
688381.SH,帝奥微,25.56,33.66,31.69%
300285.SZ,国瓷材料,57.80,76.11,31.68%
603663.SH,三祥新材,31.96,42.08,31.66%
002900.SZ,哈三联,11.27,14.83,31.59%
688655.SH,迅捷兴,29.39,38.66,31.54%
688182.SH,灿勤科技,22.14,29.10,31.44%
