股票代码,股票名称,收盘价,第一波涨幅(%),今日涨幅(%),调整量/上涨量,市值(亿),是否波谷
301603.SZ,乔锋智能,130.40,56.73,7.10,0.43,1710000.00,否
603125.SH,常青科技,25.80,56.56,6.57,0.44,1140000.00,否
300661.SZ,圣邦股份,116.83,56.35,4.84,0.49,6990000.00,是
300083.SZ,创世纪,10.79,56.15,4.76,0.38,1920000.00,否
603916.SH,苏博特,14.08,55.15,-1.88,0.49,656000.00,是
000417.SZ,合百集团,7.47,54.94,4.18,0.31,675000.00,是
688416.SH,恒烁股份,122.89,54.67,12.11,0.45,1040000.00,否
300259.SZ,新天科技,6.11,53.70,12.73,0.46,807000.00,是
000988.SZ,华工科技,160.98,53.08,6.60,0.58,15930000.00,否
300184.SZ,力源信息,15.80,53.06,11.19,0.59,1740000.00,否
000021.SZ,深科技,39.47,52.87,6.42,0.55,5930000.00,否
301629.SZ,矽电股份,388.20,52.27,2.16,0.44,1750000.00,否
688699.SH,明微电子,61.50,52.24,4.22,0.43,723000.00,否
300613.SZ,富瀚微,62.58,50.38,7.25,0.29,1480000.00,是
002380.SZ,科远智慧,37.39,50.06,0.94,0.43,1060000.00,是
688981.SH,中芯国际,130.52,49.74,4.52,0.48,95210000.00,否
300042.SZ,朗科科技,62.59,49.41,5.10,0.46,1450000.00,否
600207.SH,安彩高科,6.36,49.35,4.95,0.54,698000.00,否
000700.SZ,模塑科技,15.84,49.08,10.00,0.57,1280000.00,否
002371.SZ,北方华创,682.22,47.43,2.25,0.56,44920000.00,否
688611.SH,杭州柯林,74.99,47.08,-3.15,0.38,1130000.00,是
688190.SH,云路股份,102.80,45.59,5.33,0.51,1190000.00,否
300593.SZ,新雷能,36.06,45.12,7.16,0.52,1700000.00,否
002897.SZ,意华股份,86.88,44.94,10.00,0.56,1420000.00,否
001389.SZ,广合科技,192.46,44.84,7.88,0.55,8330000.00,是
688182.SH,灿勤科技,36.03,44.77,3.18,0.42,1750000.00,否
600105.SH,永鼎股份,53.53,44.16,4.35,0.55,7380000.00,否
600460.SH,士兰微,35.37,44.08,10.02,0.54,5380000.00,否
300488.SZ,恒锋工具,39.20,43.66,3.43,0.49,737000.00,否
688256.SH,寒武纪,1335.00,42.92,7.66,0.59,82880000.00,是
300041.SZ,回天新材,13.92,42.63,6.99,0.44,689000.00,否
001309.SZ,德明利,641.86,42.23,3.96,0.55,15860000.00,否
002132.SZ,恒星科技,5.31,41.40,2.31,0.49,760000.00,否
002947.SZ,恒铭达,89.51,41.29,6.71,0.45,2290000.00,否
000672.SZ,上峰水泥,16.82,40.40,3.44,0.34,1760000.00,否
300292.SZ,吴通控股,6.28,40.24,14.39,0.46,849000.00,否
600888.SH,新疆众和,11.35,40.12,3.94,0.55,1430000.00,否
300602.SZ,飞荣达,46.52,39.99,11.75,0.55,2300000.00,否
688350.SH,富淼科技,34.50,38.74,7.91,0.27,560000.00,是
300757.SZ,罗博特科,636.66,38.51,6.11,0.59,9360000.00,否
688206.SH,概伦电子,39.12,38.28,2.01,0.56,1530000.00,否
002364.SZ,中恒电气,51.16,38.20,10.00,0.50,2980000.00,否
603228.SH,景旺电子,79.48,38.12,8.73,0.52,7020000.00,否
601609.SH,金田股份,12.61,36.88,0.48,0.55,2340000.00,是
600601.SH,方正科技,13.45,36.81,4.34,0.45,5280000.00,是
002617.SZ,露笑科技,8.95,36.73,5.29,0.54,1800000.00,是
300057.SZ,万顺新材,8.84,36.21,7.28,0.41,891000.00,是
002536.SZ,飞龙股份,45.22,36.16,9.23,0.48,2670000.00,是
300286.SZ,安科瑞,27.45,35.86,3.31,0.44,646000.00,否
300590.SZ,移为通信,14.78,35.52,3.79,0.34,704000.00,否
000600.SZ,建投能源,10.24,35.16,-0.29,0.40,1960000.00,是
688469.SH,芯联集成-U,7.73,35.04,5.75,0.57,6520000.00,是
600184.SH,光电股份,27.07,33.97,8.06,0.44,1570000.00,否
688433.SH,华曙高科,95.52,32.74,2.96,0.54,3910000.00,否
688183.SH,生益电子,133.16,32.18,7.69,0.50,8690000.00,是
601133.SH,柏诚股份,32.40,32.16,10.02,0.50,1600000.00,否
002079.SZ,苏州固锝,12.26,32.10,5.78,0.44,1150000.00,否
600885.SH,宏发股份,32.76,31.28,3.90,0.33,5000000.00,否
002046.SZ,国机精工,62.70,31.24,5.93,0.55,2760000.00,是
301205.SZ,联特科技,323.07,31.20,6.30,0.53,3510000.00,否
300265.SZ,通光线缆,22.38,31.20,8.85,0.50,1060000.00,否
000690.SZ,宝新能源,5.34,31.14,2.69,0.43,1250000.00,否
688484.SH,南芯科技,43.89,31.09,8.96,0.56,1970000.00,否
300236.SZ,上海新阳,100.49,31.04,4.97,0.59,3240000.00,否
688006.SH,杭可科技,36.24,30.81,10.05,0.55,2050000.00,是
300623.SZ,捷捷微电,35.38,30.76,11.26,0.50,2730000.00,否
002745.SZ,木林森,10.25,30.64,9.98,0.53,1440000.00,是
300872.SZ,天阳科技,18.81,30.52,6.51,0.35,1020000.00,是
002902.SZ,铭普光磁,34.27,30.47,4.29,0.40,900000.00,是
001301.SZ,尚太科技,92.11,30.36,2.97,0.37,2090000.00,是
002608.SZ,江苏国信,9.01,29.95,2.85,0.50,3280000.00,否
000060.SZ,中金岭南,7.92,29.77,4.76,0.44,3240000.00,否
300276.SZ,三丰智能,7.92,29.76,6.02,0.55,1280000.00,否
300476.SZ,胜宏科技,344.50,29.47,5.28,0.58,33120000.00,是
688411.SH,海博思创,260.00,28.34,-1.76,0.50,4650000.00,是
603726.SH,朗迪集团,27.83,28.21,10.00,0.41,532000.00,否
603010.SH,万盛股份,14.00,28.18,5.82,0.41,851000.00,否
603296.SH,华勤技术,106.21,27.70,3.35,0.37,11700000.00,否
301285.SZ,鸿日达,117.77,27.24,11.15,0.54,2460000.00,是
002350.SZ,北京科锐,15.45,26.69,7.82,0.43,944000.00,否
300681.SZ,英搏尔,31.31,26.42,3.33,0.51,1050000.00,否
000966.SZ,长源电力,4.96,26.04,5.08,0.59,1770000.00,否
000722.SZ,湖南发展,15.41,25.85,2.26,0.45,705000.00,是
601678.SH,滨化股份,6.01,25.69,2.39,0.41,1270000.00,否
300316.SZ,晶盛机电,52.15,24.67,10.77,0.53,6820000.00,否
600021.SH,上海电力,17.54,24.19,1.98,0.46,5210000.00,是
300327.SZ,中颖电子,26.66,23.98,3.61,0.49,956000.00,否
002194.SZ,武汉凡谷,11.56,23.59,1.67,0.56,899000.00,是
002301.SZ,齐心集团,8.10,23.44,10.05,0.35,615000.00,否
688692.SH,达梦数据,272.29,23.06,1.50,0.55,3050000.00,是
300397.SZ,天和防务,13.75,22.56,3.46,0.52,725000.00,否
301626.SZ,苏州天脉,313.00,22.16,7.29,0.55,3170000.00,否
000783.SZ,长江证券,7.92,21.47,2.86,0.31,4650000.00,是
300199.SZ,翰宇药业,23.03,21.29,5.35,0.40,2110000.00,是
603031.SH,安孚科技,53.85,21.09,5.94,0.49,2130000.00,否
002126.SZ,银轮股份,49.09,20.62,3.98,0.48,4480000.00,是
000027.SZ,深圳能源,7.29,20.42,1.25,0.51,3690000.00,是
688103.SH,国力电子,62.39,20.33,6.52,0.59,629000.00,否
600198.SH,大唐电信,9.37,19.95,1.96,0.34,1220000.00,否
002050.SZ,三花智控,45.75,18.92,2.10,0.48,22020000.00,否
002635.SZ,安洁科技,17.45,18.86,10.03,0.59,1170000.00,否
601689.SH,拓普集团,61.70,18.72,1.78,0.57,12380000.00,否
301238.SZ,瑞泰新材,23.30,18.39,6.15,0.53,1520000.00,是
002077.SZ,大港股份,16.76,17.68,5.94,0.52,1010000.00,否
002179.SZ,中航光电,38.19,17.63,6.05,0.40,8440000.00,否
603997.SH,继峰股份,14.50,17.19,4.92,0.57,1720000.00,否
600111.SH,北方稀土,50.47,17.13,2.10,0.45,18170000.00,否
601168.SH,西部矿业,32.84,16.33,6.94,0.56,7210000.00,是
000301.SZ,东方盛虹,12.76,15.68,7.41,0.44,8340000.00,是
002444.SZ,巨星科技,31.80,15.58,3.89,0.48,4100000.00,是
300100.SZ,双林股份,29.54,15.06,2.29,0.43,1990000.00,是
